,,S0P0,S0P0,S0P0,S0P1,S0P1,S0P1,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0,S0,S0,S0,S0,S0,S0,S1P0,S1P0,S1P0,S1P1,S1P1,S1P1,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1,S1,S1,S1,S1,S1,S1,
2026-01-15,05:37:41.876,2393958774,0.00,0.00,2393959266,0.00,0.00,1064120688,0.00,-1,-1,1064120688,0.00,-1,-1,1064120656,0.00,-1,-1,1064120656,0.00,-1,-1,1064120677,0.00,-1,-1,1064120677,0.00,-1,-1,1064120766,0.00,-1,-1,1064120766,0.00,-1,-1,1340285,81.80,81.97,36,718121,10.99,11.01,2393955866,0.00,0.00,2393956266,0.00,0.00,1064123239,0.00,-1,-1,1064123239,0.00,-1,-1,1064122965,0.00,-1,-1,1064122965,0.00,-1,-1,1064123053,0.00,-1,-1,1064123053,0.00,-1,-1,1064123080,0.00,-1,-1,1064123080,0.00,-1,-1,1282300,78.27,78.42,48,722710,11.06,11.08,
2026-01-15,05:37:42.872,2393636582,0.00,0.00,2393637042,0.00,0.00,1063977964,0.00,-1,-1,1063977964,0.00,-1,-1,1063977965,0.00,-1,-1,1063977965,0.00,-1,-1,1063978029,0.00,-1,-1,1063978029,0.00,-1,-1,1063978050,0.00,-1,-1,1063978050,0.00,-1,-1,1340184,81.80,82.04,36,718997,11.00,11.03,2393630218,0.00,0.00,2393630614,0.00,0.00,1063978464,0.00,-1,-1,1063978464,0.00,-1,-1,1063978423,0.00,-1,-1,1063978423,0.00,-1,-1,1063978485,0.00,-1,-1,1063978485,0.00,-1,-1,1063978578,0.00,-1,-1,1063978578,0.00,-1,-1,1286608,78.53,78.76,49,722273,11.05,11.08,
2026-01-15,05:37:43.874,2392423406,0.00,0.00,2392423930,0.00,0.00,1063439036,0.00,-1,-1,1063439036,0.00,-1,-1,1063439050,0.00,-1,-1,1063439050,0.00,-1,-1,1063439028,0.00,-1,-1,1063439028,0.00,-1,-1,1063438986,0.00,-1,-1,1063438986,0.00,-1,-1,1339259,81.74,81.99,35,718842,11.00,11.03,2392417198,0.00,0.00,2392417574,0.00,0.00,1063439441,0.00,-1,-1,1063439441,0.00,-1,-1,1063439461,0.00,-1,-1,1063439461,0.00,-1,-1,1063439389,0.00,-1,-1,1063439389,0.00,-1,-1,1063439340,0.00,-1,-1,1063439340,0.00,-1,-1,1284981,78.43,78.67,48,722970,11.06,11.09,
2026-01-15,05:37:44.876,2393905490,0.00,0.00,2393905830,0.00,0.00,1064097313,0.00,-1,-1,1064097313,0.00,-1,-1,1064097323,0.00,-1,-1,1064097323,0.00,-1,-1,1064097300,0.00,-1,-1,1064097300,0.00,-1,-1,1064097248,0.00,-1,-1,1064097248,0.00,-1,-1,1339258,81.74,81.91,35,718911,11.00,11.02,2393891826,0.00,0.00,2393892218,0.00,0.00,1064094653,0.00,-1,-1,1064094653,0.00,-1,-1,1064094637,0.00,-1,-1,1064094637,0.00,-1,-1,1064094574,0.00,-1,-1,1064094574,0.00,-1,-1,1064094567,0.00,-1,-1,1064094567,0.00,-1,-1,1286977,78.55,78.71,48,726685,11.12,11.14,
2026-01-15,05:37:45.872,2394137418,0.00,0.00,2394137778,0.00,0.00,1064200251,0.00,-1,-1,1064200251,0.00,-1,-1,1064200257,0.00,-1,-1,1064200257,0.00,-1,-1,1064200331,0.00,-1,-1,1064200331,0.00,-1,-1,1064200362,0.00,-1,-1,1064200362,0.00,-1,-1,1340378,81.81,81.97,35,720756,11.03,11.05,2394134250,0.00,0.00,2394134450,0.00,0.00,1064202050,0.00,-1,-1,1064202050,0.00,-1,-1,1064202044,0.00,-1,-1,1064202044,0.00,-1,-1,1064202131,0.00,-1,-1,1064202131,0.00,-1,-1,1064202108,0.00,-1,-1,1064202108,0.00,-1,-1,1284491,78.40,78.56,48,725252,11.10,11.12,
2026-01-15,05:37:46.875,2395270654,0.00,0.00,2395271190,0.00,0.00,1064704109,0.00,-1,-1,1064704109,0.00,-1,-1,1064704018,0.00,-1,-1,1064704018,0.00,-1,-1,1064703908,0.00,-1,-1,1064703908,0.00,-1,-1,1064703950,0.00,-1,-1,1064703950,0.00,-1,-1,1340744,81.83,82.00,36,718564,10.99,11.02,2395304706,0.00,0.00,2395305054,0.00,0.00,1064722918,0.00,-1,-1,1064722918,0.00,-1,-1,1064722910,0.00,-1,-1,1064722910,0.00,-1,-1,1064722923,0.00,-1,-1,1064722923,0.00,-1,-1,1064722913,0.00,-1,-1,1064722913,0.00,-1,-1,1287164,78.56,78.72,48,727455,11.13,11.15,
2026-01-15,05:37:47.873,2395370286,0.00,0.00,2395370642,0.00,0.00,1064748486,0.00,-1,-1,1064748486,0.00,-1,-1,1064748529,0.00,-1,-1,1064748529,0.00,-1,-1,1064748530,0.00,-1,-1,1064748530,0.00,-1,-1,1064748494,0.00,-1,-1,1064748494,0.00,-1,-1,1342366,81.93,82.10,35,720451,11.02,11.04,2395318890,0.00,0.00,2395319214,0.00,0.00,1064728742,0.00,-1,-1,1064728742,0.00,-1,-1,1064728728,0.00,-1,-1,1064728728,0.00,-1,-1,1064728625,0.00,-1,-1,1064728625,0.00,-1,-1,1064728611,0.00,-1,-1,1064728611,0.00,-1,-1,1284669,78.41,78.57,47,726352,11.11,11.14,
2026-01-15,05:37:48.875,2394128226,0.00,0.00,2394128746,0.00,0.00,1064196343,0.00,-1,-1,1064196343,0.00,-1,-1,1064196398,0.00,-1,-1,1064196398,0.00,-1,-1,1064196443,0.00,-1,-1,1064196443,0.00,-1,-1,1064196491,0.00,-1,-1,1064196491,0.00,-1,-1,1339673,81.77,81.93,35,719328,11.01,11.03,2394127842,0.00,0.00,2394128262,0.00,0.00,1064199391,0.00,-1,-1,1064199391,0.00,-1,-1,1064199370,0.00,-1,-1,1064199370,0.00,-1,-1,1064199489,0.00,-1,-1,1064199489,0.00,-1,-1,1064199510,0.00,-1,-1,1064199510,0.00,-1,-1,1291612,78.83,78.99,47,730536,11.18,11.20,
2026-01-15,05:37:49.876,2395242750,0.00,0.00,2395243402,0.00,0.00,1064692085,0.00,-1,-1,1064692085,0.00,-1,-1,1064691990,0.00,-1,-1,1064691990,0.00,-1,-1,1064691979,0.00,-1,-1,1064691979,0.00,-1,-1,1064691929,0.00,-1,-1,1064691929,0.00,-1,-1,1340943,81.84,82.01,35,718444,10.99,11.01,2395282862,0.00,0.00,2395283294,0.00,0.00,1064713187,0.00,-1,-1,1064713187,0.00,-1,-1,1064713235,0.00,-1,-1,1064713235,0.00,-1,-1,1064713222,0.00,-1,-1,1064713222,0.00,-1,-1,1064713317,0.00,-1,-1,1064713317,0.00,-1,-1,1285237,78.44,78.60,48,725497,11.10,11.12,
2026-01-15,05:37:50.879,2404353622,0.00,0.00,2404353930,0.00,0.00,1068740849,0.00,-1,-1,1068740849,0.00,-1,-1,1068740905,0.00,-1,-1,1068740905,0.00,-1,-1,1068740823,0.00,-1,-1,1068740823,0.00,-1,-1,1068740846,0.00,-1,-1,1068740846,0.00,-1,-1,1346646,82.19,82.03,35,721463,11.04,11.02,2404291926,0.00,0.00,2404292278,0.00,0.00,1068717006,0.00,-1,-1,1068717006,0.00,-1,-1,1068717032,0.00,-1,-1,1068717032,0.00,-1,-1,1068717081,0.00,-1,-1,1068717081,0.00,-1,-1,1068716968,0.00,-1,-1,1068716968,0.00,-1,-1,1295067,79.04,78.89,47,727085,11.12,11.10,
2026-01-15,05:37:51.883,2394773518,0.00,0.00,2394774066,0.00,0.00,1064483564,0.00,-1,-1,1064483564,0.00,-1,-1,1064483788,0.00,-1,-1,1064483788,0.00,-1,-1,1064484040,0.00,-1,-1,1064484040,0.00,-1,-1,1064484228,0.00,-1,-1,1064484228,0.00,-1,-1,1341443,81.88,82.04,35,718083,10.99,11.01,2394771262,0.00,0.00,2394771634,0.00,0.00,1064485675,0.00,-1,-1,1064485675,0.00,-1,-1,1064485675,0.00,-1,-1,1064485675,0.00,-1,-1,1064485602,0.00,-1,-1,1064485602,0.00,-1,-1,1064485661,0.00,-1,-1,1064485661,0.00,-1,-1,1293005,78.92,79.08,48,728232,11.14,11.16,
2026-01-15,05:37:52.880,2394127606,0.00,0.00,2394128010,0.00,0.00,1064197497,0.00,-1,-1,1064197497,0.00,-1,-1,1064197341,0.00,-1,-1,1064197341,0.00,-1,-1,1064197143,0.00,-1,-1,1064197143,0.00,-1,-1,1064196958,0.00,-1,-1,1064196958,0.00,-1,-1,1341535,81.88,82.04,35,717310,10.97,11.00,2394121610,0.00,0.00,2394122018,0.00,0.00,1064196952,0.00,-1,-1,1064196952,0.00,-1,-1,1064196920,0.00,-1,-1,1064196920,0.00,-1,-1,1064196879,0.00,-1,-1,1064196879,0.00,-1,-1,1064196826,0.00,-1,-1,1064196826,0.00,-1,-1,1290429,78.76,78.92,47,725720,11.10,11.13,
2026-01-15,05:37:53.880,2394099598,0.00,0.00,2394100066,0.00,0.00,1064183984,0.00,-1,-1,1064183984,0.00,-1,-1,1064183905,0.00,-1,-1,1064183905,0.00,-1,-1,1064183943,0.00,-1,-1,1064183943,0.00,-1,-1,1064183974,0.00,-1,-1,1064183974,0.00,-1,-1,1341748,81.89,82.14,35,720130,11.02,11.05,2394087994,0.00,0.00,2394088246,0.00,0.00,1064181570,0.00,-1,-1,1064181570,0.00,-1,-1,1064181706,0.00,-1,-1,1064181706,0.00,-1,-1,1064181793,0.00,-1,-1,1064181793,0.00,-1,-1,1064181871,0.00,-1,-1,1064181871,0.00,-1,-1,1296920,79.16,79.40,47,730489,11.18,11.21,
2026-01-15,05:37:54.880,2392844234,0.00,0.00,2392844734,0.00,0.00,1063626072,0.00,-1,-1,1063626072,0.00,-1,-1,1063626072,0.00,-1,-1,1063626072,0.00,-1,-1,1063626111,0.00,-1,-1,1063626111,0.00,-1,-1,1063626112,0.00,-1,-1,1063626112,0.00,-1,-1,1340404,81.81,82.06,35,717273,10.97,11.01,2392897094,0.00,0.00,2392897434,0.00,0.00,1063652969,0.00,-1,-1,1063652969,0.00,-1,-1,1063652801,0.00,-1,-1,1063652801,0.00,-1,-1,1063652758,0.00,-1,-1,1063652758,0.00,-1,-1,1063652704,0.00,-1,-1,1063652704,0.00,-1,-1,1288609,78.65,78.89,47,724163,11.08,11.11,
2026-01-15,05:37:55.880,2393252838,0.00,0.00,2393253314,0.00,0.00,1063807548,0.00,-1,-1,1063807548,0.00,-1,-1,1063807594,0.00,-1,-1,1063807594,0.00,-1,-1,1063807576,0.00,-1,-1,1063807576,0.00,-1,-1,1063807608,0.00,-1,-1,1063807608,0.00,-1,-1,1340505,81.82,81.98,35,713864,10.92,10.94,2393190254,0.00,0.00,2393190710,0.00,0.00,1063782785,0.00,-1,-1,1063782785,0.00,-1,-1,1063782773,0.00,-1,-1,1063782773,0.00,-1,-1,1063782753,0.00,-1,-1,1063782753,0.00,-1,-1,1063782712,0.00,-1,-1,1063782712,0.00,-1,-1,1292409,78.88,79.04,47,726363,11.11,11.14,
2026-01-15,05:37:56.880,2396297630,0.00,0.00,2396298106,0.00,0.00,1065160869,0.00,-1,-1,1065160869,0.00,-1,-1,1065160804,0.00,-1,-1,1065160804,0.00,-1,-1,1065160778,0.00,-1,-1,1065160778,0.00,-1,-1,1065160727,0.00,-1,-1,1065160727,0.00,-1,-1,1344289,82.05,82.21,35,721417,11.04,11.06,2396289958,0.00,0.00,2396290314,0.00,0.00,1065160238,0.00,-1,-1,1065160238,0.00,-1,-1,1065160302,0.00,-1,-1,1065160302,0.00,-1,-1,1065160318,0.00,-1,-1,1065160318,0.00,-1,-1,1065160347,0.00,-1,-1,1065160347,0.00,-1,-1,1295567,79.08,79.23,46,724776,11.09,11.11,
2026-01-15,05:37:57.881,2394145286,0.00,0.00,2394145798,0.00,0.00,1064204243,0.00,-1,-1,1064204243,0.00,-1,-1,1064204270,0.00,-1,-1,1064204270,0.00,-1,-1,1064204343,0.00,-1,-1,1064204343,0.00,-1,-1,1064204583,0.00,-1,-1,1064204583,0.00,-1,-1,1343819,82.02,82.18,35,716431,10.96,10.98,2394135730,0.00,0.00,2394135954,0.00,0.00,1064202994,0.00,-1,-1,1064202994,0.00,-1,-1,1064202966,0.00,-1,-1,1064202966,0.00,-1,-1,1064202955,0.00,-1,-1,1064202955,0.00,-1,-1,1064202977,0.00,-1,-1,1064202977,0.00,-1,-1,1294903,79.03,79.19,47,726744,11.12,11.14,
2026-01-15,05:37:58.877,2394107654,0.00,0.00,2394108042,0.00,0.00,1064187672,0.00,-1,-1,1064187672,0.00,-1,-1,1064187704,0.00,-1,-1,1064187704,0.00,-1,-1,1064187638,0.00,-1,-1,1064187638,0.00,-1,-1,1064187348,0.00,-1,-1,1064187348,0.00,-1,-1,1342497,81.94,82.10,35,719263,11.00,11.03,2394098638,0.00,0.00,2394098926,0.00,0.00,1064186532,0.00,-1,-1,1064186532,0.00,-1,-1,1064186602,0.00,-1,-1,1064186602,0.00,-1,-1,1064186678,0.00,-1,-1,1064186678,0.00,-1,-1,1064186647,0.00,-1,-1,1064186647,0.00,-1,-1,1294225,78.99,79.15,47,725335,11.10,11.12,
2026-01-15,05:37:59.881,2400686478,0.00,0.00,2400687054,0.00,0.00,1067111580,0.00,-1,-1,1067111580,0.00,-1,-1,1067111539,0.00,-1,-1,1067111539,0.00,-1,-1,1067111563,0.00,-1,-1,1067111563,0.00,-1,-1,1067111572,0.00,-1,-1,1067111572,0.00,-1,-1,1349016,82.34,82.34,34,720103,11.02,11.02,2400684606,0.00,0.00,2400684806,0.00,0.00,1067113668,0.00,-1,-1,1067113668,0.00,-1,-1,1067113669,0.00,-1,-1,1067113669,0.00,-1,-1,1067113589,0.00,-1,-1,1067113589,0.00,-1,-1,1067113563,0.00,-1,-1,1067113563,0.00,-1,-1,1299967,79.34,79.34,46,728138,11.14,11.14,
2026-01-15,05:38:00.883,2394770538,0.00,0.00,2394771030,0.00,0.00,1064481789,0.00,-1,-1,1064481789,0.00,-1,-1,1064481775,0.00,-1,-1,1064481775,0.00,-1,-1,1064481793,0.00,-1,-1,1064481793,0.00,-1,-1,1064481766,0.00,-1,-1,1064481766,0.00,-1,-1,1345840,82.14,82.31,35,718237,10.99,11.01,2394766590,0.00,0.00,2394767122,0.00,0.00,1064483741,0.00,-1,-1,1064483741,0.00,-1,-1,1064483641,0.00,-1,-1,1064483641,0.00,-1,-1,1064483692,0.00,-1,-1,1064483692,0.00,-1,-1,1064483704,0.00,-1,-1,1064483704,0.00,-1,-1,1296367,79.12,79.28,47,724500,11.08,11.11,
2026-01-15,05:38:01.884,2394135006,0.00,0.00,2394135378,0.00,0.00,1064199535,0.00,-1,-1,1064199535,0.00,-1,-1,1064199593,0.00,-1,-1,1064199593,0.00,-1,-1,1064199557,0.00,-1,-1,1064199557,0.00,-1,-1,1064199612,0.00,-1,-1,1064199612,0.00,-1,-1,1347003,82.21,82.38,34,719575,11.01,11.03,2394124182,0.00,0.00,2394124446,0.00,0.00,1064198404,0.00,-1,-1,1064198404,0.00,-1,-1,1064198469,0.00,-1,-1,1064198469,0.00,-1,-1,1064198402,0.00,-1,-1,1064198402,0.00,-1,-1,1064198434,0.00,-1,-1,1064198434,0.00,-1,-1,1297714,79.21,79.36,45,727071,11.12,11.15,
