,,S0P0,S0P0,S0P0,S0P1,S0P1,S0P1,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0,S0,S0,S0,S0,S0,S0,S1P0,S1P0,S1P0,S1P1,S1P1,S1P1,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1,S1,S1,S1,S1,S1,S1,
2026-01-15,05:38:41.035,2394221522,0.00,0.00,2394222194,0.00,0.00,1064237916,0.00,-1,-1,1064237916,0.00,-1,-1,1064237842,0.00,-1,-1,1064237842,0.00,-1,-1,1064237771,0.00,-1,-1,1064237771,0.00,-1,-1,1064237804,0.00,-1,-1,1064237804,0.00,-1,-1,1403729,85.68,85.85,31,719065,11.00,11.02,2394206858,0.00,0.00,2394207202,0.00,0.00,1064234363,0.00,-1,-1,1064234363,0.00,-1,-1,1064234300,0.00,-1,-1,1064234300,0.00,-1,-1,1064234392,0.00,-1,-1,1064234392,0.00,-1,-1,1064234166,0.00,-1,-1,1064234166,0.00,-1,-1,1345385,82.12,82.28,44,729499,11.16,11.18,
2026-01-15,05:38:42.036,2395138618,0.00,0.00,2395139186,0.00,0.00,1064645530,0.00,-1,-1,1064645530,0.00,-1,-1,1064645543,0.00,-1,-1,1064645543,0.00,-1,-1,1064645592,0.00,-1,-1,1064645592,0.00,-1,-1,1064645455,0.00,-1,-1,1064645455,0.00,-1,-1,1404454,85.72,85.89,30,717599,10.98,11.00,2395180786,0.00,0.00,2395181198,0.00,0.00,1064667162,0.00,-1,-1,1064667162,0.00,-1,-1,1064667010,0.00,-1,-1,1064667010,0.00,-1,-1,1064666979,0.00,-1,-1,1064666979,0.00,-1,-1,1064667081,0.00,-1,-1,1064667081,0.00,-1,-1,1338220,81.68,81.84,43,724998,11.09,11.11,
2026-01-15,05:38:43.032,2393241826,0.00,0.00,2393242334,0.00,0.00,1063802256,0.00,-1,-1,1063802256,0.00,-1,-1,1063802280,0.00,-1,-1,1063802280,0.00,-1,-1,1063802230,0.00,-1,-1,1063802230,0.00,-1,-1,1063802281,0.00,-1,-1,1063802281,0.00,-1,-1,1402005,85.57,85.83,31,717304,10.97,11.01,2393192034,0.00,0.00,2393192342,0.00,0.00,1063782748,0.00,-1,-1,1063782748,0.00,-1,-1,1063782918,0.00,-1,-1,1063782918,0.00,-1,-1,1063782922,0.00,-1,-1,1063782922,0.00,-1,-1,1063782946,0.00,-1,-1,1063782946,0.00,-1,-1,1343127,81.98,82.22,44,725629,11.10,11.14,
2026-01-15,05:38:44.035,2392481178,0.00,0.00,2392481738,0.00,0.00,1063464779,0.00,-1,-1,1063464779,0.00,-1,-1,1063464940,0.00,-1,-1,1063464940,0.00,-1,-1,1063465542,0.00,-1,-1,1063465542,0.00,-1,-1,1063465629,0.00,-1,-1,1063465629,0.00,-1,-1,1402451,85.60,85.86,30,717234,10.97,11.01,2392516858,0.00,0.00,2392517070,0.00,0.00,1063483351,0.00,-1,-1,1063483351,0.00,-1,-1,1063483373,0.00,-1,-1,1063483373,0.00,-1,-1,1063483257,0.00,-1,-1,1063483257,0.00,-1,-1,1063483244,0.00,-1,-1,1063483244,0.00,-1,-1,1342042,81.91,82.16,43,725190,11.10,11.13,
2026-01-15,05:38:45.035,2393173094,0.00,0.00,2393173598,0.00,0.00,1063772567,0.00,-1,-1,1063772567,0.00,-1,-1,1063772350,0.00,-1,-1,1063772350,0.00,-1,-1,1063771754,0.00,-1,-1,1063771754,0.00,-1,-1,1063771690,0.00,-1,-1,1063771690,0.00,-1,-1,1402156,85.58,85.75,30,722151,11.05,11.07,2393123182,0.00,0.00,2393123522,0.00,0.00,1063752215,0.00,-1,-1,1063752215,0.00,-1,-1,1063752127,0.00,-1,-1,1063752127,0.00,-1,-1,1063752216,0.00,-1,-1,1063752216,0.00,-1,-1,1063752238,0.00,-1,-1,1063752238,0.00,-1,-1,1346395,82.18,82.34,43,726170,11.11,11.13,
2026-01-15,05:38:46.033,2394106234,0.00,0.00,2394106822,0.00,0.00,1064186753,0.00,-1,-1,1064186753,0.00,-1,-1,1064186812,0.00,-1,-1,1064186812,0.00,-1,-1,1064186864,0.00,-1,-1,1064186864,0.00,-1,-1,1064186879,0.00,-1,-1,1064186879,0.00,-1,-1,1403879,85.69,85.94,30,719887,11.01,11.05,2394106538,0.00,0.00,2394106914,0.00,0.00,1064189213,0.00,-1,-1,1064189213,0.00,-1,-1,1064189234,0.00,-1,-1,1064189234,0.00,-1,-1,1064189145,0.00,-1,-1,1064189145,0.00,-1,-1,1064189132,0.00,-1,-1,1064189132,0.00,-1,-1,1342499,81.94,82.19,43,724046,11.08,11.11,
2026-01-15,05:38:47.031,2392860422,0.00,0.00,2392860862,0.00,0.00,1063633312,0.00,-1,-1,1063633312,0.00,-1,-1,1063633339,0.00,-1,-1,1063633339,0.00,-1,-1,1063633350,0.00,-1,-1,1063633350,0.00,-1,-1,1063633401,0.00,-1,-1,1063633401,0.00,-1,-1,1402804,85.62,85.79,30,718328,10.99,11.01,2392913134,0.00,0.00,2392913510,0.00,0.00,1063659049,0.00,-1,-1,1063659049,0.00,-1,-1,1063659094,0.00,-1,-1,1063659094,0.00,-1,-1,1063659104,0.00,-1,-1,1063659104,0.00,-1,-1,1063659194,0.00,-1,-1,1063659194,0.00,-1,-1,1340277,81.80,81.97,43,723809,11.07,11.10,
2026-01-15,05:38:48.035,2394918618,0.00,0.00,2394919094,0.00,0.00,1064548303,0.00,-1,-1,1064548303,0.00,-1,-1,1064548455,0.00,-1,-1,1064548455,0.00,-1,-1,1064548750,0.00,-1,-1,1064548750,0.00,-1,-1,1064548917,0.00,-1,-1,1064548917,0.00,-1,-1,1404264,85.71,85.88,30,716499,10.96,10.98,2394855358,0.00,0.00,2394855682,0.00,0.00,1064522184,0.00,-1,-1,1064522184,0.00,-1,-1,1064522145,0.00,-1,-1,1064522145,0.00,-1,-1,1064522246,0.00,-1,-1,1064522246,0.00,-1,-1,1064522198,0.00,-1,-1,1064522198,0.00,-1,-1,1345386,82.12,82.28,43,726456,11.11,11.14,
2026-01-15,05:38:49.031,2394640526,0.00,0.00,2394640846,0.00,0.00,1064425454,0.00,-1,-1,1064425454,0.00,-1,-1,1064425246,0.00,-1,-1,1064425246,0.00,-1,-1,1064424963,0.00,-1,-1,1064424963,0.00,-1,-1,1064424722,0.00,-1,-1,1064424722,0.00,-1,-1,1404281,85.71,85.97,29,717889,10.98,11.02,2394632562,0.00,0.00,2394632978,0.00,0.00,1064423179,0.00,-1,-1,1064423179,0.00,-1,-1,1064423147,0.00,-1,-1,1064423147,0.00,-1,-1,1064423041,0.00,-1,-1,1064423041,0.00,-1,-1,1064423176,0.00,-1,-1,1064423176,0.00,-1,-1,1344894,82.09,82.33,43,725328,11.10,11.13,
2026-01-15,05:38:50.033,2393640678,0.00,0.00,2393641098,0.00,0.00,1063979668,0.00,-1,-1,1063979668,0.00,-1,-1,1063979622,0.00,-1,-1,1063979622,0.00,-1,-1,1063979622,0.00,-1,-1,1063979622,0.00,-1,-1,1063979705,0.00,-1,-1,1063979705,0.00,-1,-1,1404446,85.72,85.89,29,716198,10.96,10.98,2393631742,0.00,0.00,2393632030,0.00,0.00,1063978410,0.00,-1,-1,1063978410,0.00,-1,-1,1063978318,0.00,-1,-1,1063978318,0.00,-1,-1,1063978294,0.00,-1,-1,1063978294,0.00,-1,-1,1063978214,0.00,-1,-1,1063978214,0.00,-1,-1,1346497,82.18,82.35,43,727655,11.13,11.16,
2026-01-15,05:38:51.033,2394118406,0.00,0.00,2394118954,0.00,0.00,1064192500,0.00,-1,-1,1064192500,0.00,-1,-1,1064192487,0.00,-1,-1,1064192487,0.00,-1,-1,1064192479,0.00,-1,-1,1064192479,0.00,-1,-1,1064192384,0.00,-1,-1,1064192384,0.00,-1,-1,1403019,85.63,85.81,29,718231,10.99,11.01,2394112594,0.00,0.00,2394112990,0.00,0.00,1064192118,0.00,-1,-1,1064192118,0.00,-1,-1,1064192296,0.00,-1,-1,1064192296,0.00,-1,-1,1064192385,0.00,-1,-1,1064192385,0.00,-1,-1,1064192294,0.00,-1,-1,1064192294,0.00,-1,-1,1339908,81.78,81.95,43,723985,11.08,11.10,
2026-01-15,05:38:52.034,2394700698,0.00,0.00,2394701246,0.00,0.00,1064451122,0.00,-1,-1,1064451122,0.00,-1,-1,1064451293,0.00,-1,-1,1064451293,0.00,-1,-1,1064451344,0.00,-1,-1,1064451344,0.00,-1,-1,1064451376,0.00,-1,-1,1064451376,0.00,-1,-1,1404606,85.73,85.90,28,716672,10.97,10.99,2394711250,0.00,0.00,2394711750,0.00,0.00,1064458228,0.00,-1,-1,1064458228,0.00,-1,-1,1064458172,0.00,-1,-1,1064458172,0.00,-1,-1,1064458171,0.00,-1,-1,1064458171,0.00,-1,-1,1064458236,0.00,-1,-1,1064458236,0.00,-1,-1,1344154,82.04,82.21,42,725522,11.10,11.12,
2026-01-15,05:38:53.035,2396432974,0.00,0.00,2396433486,0.00,0.00,1065221122,0.00,-1,-1,1065221122,0.00,-1,-1,1065221082,0.00,-1,-1,1065221082,0.00,-1,-1,1065221144,0.00,-1,-1,1065221144,0.00,-1,-1,1065221176,0.00,-1,-1,1065221176,0.00,-1,-1,1406150,85.82,86.00,29,719046,11.00,11.02,2396412946,0.00,0.00,2396413326,0.00,0.00,1065214687,0.00,-1,-1,1065214687,0.00,-1,-1,1065214711,0.00,-1,-1,1065214711,0.00,-1,-1,1065214682,0.00,-1,-1,1065214682,0.00,-1,-1,1065214610,0.00,-1,-1,1065214610,0.00,-1,-1,1348381,82.30,82.46,43,728557,11.15,11.17,
2026-01-15,05:38:54.032,2392825890,0.00,0.00,2392826490,0.00,0.00,1063617631,0.00,-1,-1,1063617631,0.00,-1,-1,1063617649,0.00,-1,-1,1063617649,0.00,-1,-1,1063617585,0.00,-1,-1,1063617585,0.00,-1,-1,1063617545,0.00,-1,-1,1063617545,0.00,-1,-1,1403231,85.65,85.90,30,717000,10.97,11.00,2392871454,0.00,0.00,2392871738,0.00,0.00,1063640292,0.00,-1,-1,1063640292,0.00,-1,-1,1063640260,0.00,-1,-1,1063640260,0.00,-1,-1,1063640273,0.00,-1,-1,1063640273,0.00,-1,-1,1063640291,0.00,-1,-1,1063640291,0.00,-1,-1,1335648,81.52,81.77,42,722218,11.05,11.08,
2026-01-15,05:38:55.035,2392601630,0.00,0.00,2392602210,0.00,0.00,1063518107,0.00,-1,-1,1063518107,0.00,-1,-1,1063518049,0.00,-1,-1,1063518049,0.00,-1,-1,1063518078,0.00,-1,-1,1063518078,0.00,-1,-1,1063518129,0.00,-1,-1,1063518129,0.00,-1,-1,1403203,85.64,85.90,29,717447,10.98,11.01,2392547510,0.00,0.00,2392547754,0.00,0.00,1063496550,0.00,-1,-1,1063496550,0.00,-1,-1,1063496595,0.00,-1,-1,1063496595,0.00,-1,-1,1063496627,0.00,-1,-1,1063496627,0.00,-1,-1,1063496600,0.00,-1,-1,1063496600,0.00,-1,-1,1339402,81.75,82.00,42,726309,11.11,11.15,
2026-01-15,05:38:56.031,2394560094,0.00,0.00,2394560538,0.00,0.00,1064388631,0.00,-1,-1,1064388631,0.00,-1,-1,1064388587,0.00,-1,-1,1064388587,0.00,-1,-1,1064388505,0.00,-1,-1,1064388505,0.00,-1,-1,1064388473,0.00,-1,-1,1064388473,0.00,-1,-1,1404694,85.74,85.91,29,720633,11.03,11.05,2394554314,0.00,0.00,2394554634,0.00,0.00,1064388450,0.00,-1,-1,1064388450,0.00,-1,-1,1064388362,0.00,-1,-1,1064388362,0.00,-1,-1,1064388331,0.00,-1,-1,1064388331,0.00,-1,-1,1064388334,0.00,-1,-1,1064388334,0.00,-1,-1,1340977,81.85,82.01,42,726430,11.11,11.14,
2026-01-15,05:38:57.035,2394873398,0.00,0.00,2394874002,0.00,0.00,1064527305,0.00,-1,-1,1064527305,0.00,-1,-1,1064527435,0.00,-1,-1,1064527435,0.00,-1,-1,1064527559,0.00,-1,-1,1064527559,0.00,-1,-1,1064527592,0.00,-1,-1,1064527592,0.00,-1,-1,1404771,85.74,85.91,28,716856,10.97,10.99,2394870898,0.00,0.00,2394871178,0.00,0.00,1064548487,0.00,-1,-1,1064548487,0.00,-1,-1,1064548541,0.00,-1,-1,1064548541,0.00,-1,-1,1064548631,0.00,-1,-1,1064548631,0.00,-1,-1,1064548620,0.00,-1,-1,1064548620,0.00,-1,-1,1340951,81.85,82.01,43,724367,11.08,11.11,
2026-01-15,05:38:58.035,2393407790,0.00,0.00,2393408106,0.00,0.00,1063876452,0.00,-1,-1,1063876452,0.00,-1,-1,1063876273,0.00,-1,-1,1063876273,0.00,-1,-1,1063876047,0.00,-1,-1,1063876047,0.00,-1,-1,1063875944,0.00,-1,-1,1063875944,0.00,-1,-1,1404851,85.75,85.92,29,718037,10.99,11.01,2393355782,0.00,0.00,2393356430,0.00,0.00,1063855778,0.00,-1,-1,1063855778,0.00,-1,-1,1063855706,0.00,-1,-1,1063855706,0.00,-1,-1,1063855549,0.00,-1,-1,1063855549,0.00,-1,-1,1063855518,0.00,-1,-1,1063855518,0.00,-1,-1,1339593,81.76,81.93,42,726133,11.11,11.13,
2026-01-15,05:38:59.036,2394086774,0.00,0.00,2394087250,0.00,0.00,1064177859,0.00,-1,-1,1064177859,0.00,-1,-1,1064177922,0.00,-1,-1,1064177922,0.00,-1,-1,1064177994,0.00,-1,-1,1064177994,0.00,-1,-1,1064178041,0.00,-1,-1,1064178041,0.00,-1,-1,1403468,85.66,85.92,28,718201,10.99,11.02,2394076302,0.00,0.00,2394076498,0.00,0.00,1064175846,0.00,-1,-1,1064175846,0.00,-1,-1,1064175908,0.00,-1,-1,1064175908,0.00,-1,-1,1064175996,0.00,-1,-1,1064175996,0.00,-1,-1,1064176038,0.00,-1,-1,1064176038,0.00,-1,-1,1343582,82.01,82.25,43,728578,11.15,11.18,
2026-01-15,05:39:00.033,2394123934,0.00,0.00,2394124634,0.00,0.00,1064194137,0.00,-1,-1,1064194137,0.00,-1,-1,1064194159,0.00,-1,-1,1064194159,0.00,-1,-1,1064194156,0.00,-1,-1,1064194156,0.00,-1,-1,1064194240,0.00,-1,-1,1064194240,0.00,-1,-1,1405062,85.76,85.93,28,721097,11.03,11.05,2394121462,0.00,0.00,2394121718,0.00,0.00,1064195798,0.00,-1,-1,1064195798,0.00,-1,-1,1064195820,0.00,-1,-1,1064195820,0.00,-1,-1,1064195734,0.00,-1,-1,1064195734,0.00,-1,-1,1064195633,0.00,-1,-1,1064195633,0.00,-1,-1,1338473,81.69,81.86,42,724923,11.09,11.11,
2026-01-15,05:39:01.035,2394137670,0.00,0.00,2394138126,0.00,0.00,1064201107,0.00,-1,-1,1064201107,0.00,-1,-1,1064201129,0.00,-1,-1,1064201129,0.00,-1,-1,1064201235,0.00,-1,-1,1064201235,0.00,-1,-1,1064201127,0.00,-1,-1,1064201127,0.00,-1,-1,1404984,85.75,85.93,28,717817,10.98,11.00,2394136082,0.00,0.00,2394136510,0.00,0.00,1064202461,0.00,-1,-1,1064202461,0.00,-1,-1,1064202449,0.00,-1,-1,1064202449,0.00,-1,-1,1064202526,0.00,-1,-1,1064202526,0.00,-1,-1,1064202580,0.00,-1,-1,1064202580,0.00,-1,-1,1340993,81.85,82.01,42,725783,11.10,11.13,
2026-01-15,05:39:02.034,2394251258,0.00,0.00,2394251802,0.00,0.00,1064251314,0.00,-1,-1,1064251314,0.00,-1,-1,1064251306,0.00,-1,-1,1064251306,0.00,-1,-1,1064251266,0.00,-1,-1,1064251266,0.00,-1,-1,1064251381,0.00,-1,-1,1064251381,0.00,-1,-1,1405006,85.75,86.01,28,718459,10.99,11.03,2394246278,0.00,0.00,2394246630,0.00,0.00,1064251550,0.00,-1,-1,1064251550,0.00,-1,-1,1064251520,0.00,-1,-1,1064251520,0.00,-1,-1,1064251607,0.00,-1,-1,1064251607,0.00,-1,-1,1064251628,0.00,-1,-1,1064251628,0.00,-1,-1,1343786,82.02,82.26,43,728762,11.15,11.18,
2026-01-15,05:39:03.033,2392819882,0.00,0.00,2392820650,0.00,0.00,1063615304,0.00,-1,-1,1063615304,0.00,-1,-1,1063615351,0.00,-1,-1,1063615351,0.00,-1,-1,1063615280,0.00,-1,-1,1063615280,0.00,-1,-1,1063615243,0.00,-1,-1,1063615243,0.00,-1,-1,1404094,85.70,85.87,28,718281,10.99,11.01,2392865430,0.00,0.00,2392865830,0.00,0.00,1063638195,0.00,-1,-1,1063638195,0.00,-1,-1,1063638301,0.00,-1,-1,1063638301,0.00,-1,-1,1063638263,0.00,-1,-1,1063638263,0.00,-1,-1,1063638365,0.00,-1,-1,1063638365,0.00,-1,-1,1336003,81.54,81.71,42,719384,11.01,11.03,
2026-01-15,05:39:04.035,2395343626,0.00,0.00,2395344126,0.00,0.00,1064736960,0.00,-1,-1,1064736960,0.00,-1,-1,1064736945,0.00,-1,-1,1064736945,0.00,-1,-1,1064736979,0.00,-1,-1,1064736979,0.00,-1,-1,1064736896,0.00,-1,-1,1064736896,0.00,-1,-1,1405424,85.78,85.95,28,718860,11.00,11.02,2395281630,0.00,0.00,2395281978,0.00,0.00,1064712189,0.00,-1,-1,1064712189,0.00,-1,-1,1064712062,0.00,-1,-1,1064712062,0.00,-1,-1,1064712058,0.00,-1,-1,1064712058,0.00,-1,-1,1064711917,0.00,-1,-1,1064711917,0.00,-1,-1,1343008,81.97,82.13,42,724577,11.09,11.11,
